Timestamp,AbsoluteLoad,AirFlowRate,AmbientTemp,CoolantTemp,EngineLoad,EngineOilTemp,FuelLevel,RPM,Speed,ThrottlePosition,Ax,Ay,Az,Gx,Gy,Gz,IntakeTemp
1677280657,24.705882352941178,12.46,,81.0,66.66666666666667,,,1282.0,18.0,20.0,-0.0947265625,-0.072998046875,1.075927734375,0.1297709923664122,0.19083969465648856,0.16793893129770993,10.0
1677280658,11.76470588235294,4.96,,81.0,43.92156862745098,,,1054.5,19.0,16.470588235294116,-0.010986328125,-0.039306640625,0.86328125,-0.3969465648854962,0.3816793893129771,-0.06870229007633588,10.0
1677280660,12.941176470588236,3.96,,81.0,42.745098039215684,,,803.0,21.0,15.686274509803921,0.05078125,-0.0673828125,0.8486328125,-0.42748091603053434,0.37404580152671757,-0.2595419847328244,10.0
1677280661,12.941176470588236,3.84,,81.0,45.490196078431374,,,718.75,20.0,15.686274509803921,-0.06005859375,-0.10888671875,1.059814453125,-0.7022900763358778,0.48091603053435117,-0.25190839694656486,10.0
1677280662,12.549019607843137,3.7800000000000002,,81.0,45.490196078431374,,,746.75,18.0,15.686274509803921,0.03125,-0.092041015625,0.982177734375,-0.25190839694656486,0.33587786259541985,-0.3435114503816794,11.0
1677280663,14.509803921568627,3.98,,81.0,45.88235294117647,,,691.25,17.0,15.686274509803921,0.1123046875,-0.099365234375,1.003662109375,-0.22900763358778625,0.2366412213740458,-1.6870229007633588,11.0
1677280664,18.431372549019606,5.04,,81.0,49.80392156862745,,,717.0,15.0,17.254901960784313,0.16748046875,-0.1171875,0.943115234375,0.05343511450381679,0.7404580152671756,-2.877862595419847,11.0
1677280665,32.15686274509804,16.15,,81.0,73.33333333333333,,,1250.0,14.0,21.568627450980394,0.19970703125,-0.0166015625,1.060302734375,0.04580152671755725,0.7099236641221374,-2.9618320610687023,11.0
1677280666,34.11764705882353,16.78,,81.0,71.37254901960785,,,1274.0,14.0,21.96078431372549,0.077880859375,0.022216796875,0.6884765625,-0.8625954198473282,0.5038167938931297,-2.122137404580153,10.0
1677280668,39.6078431372549,22.64,,81.0,74.90196078431373,,,1393.75,18.0,23.92156862745098,0.056396484375,0.051025390625,1.07080078125,-1.916030534351145,0.4198473282442748,-1.1984732824427482,10.0
1677280669,32.549019607843135,20.25,,81.0,75.68627450980392,,,1500.0,20.0,22.352941176470587,0.01513671875,0.0478515625,1.049072265625,0.32061068702290074,0.5190839694656488,-0.6412213740458015,10.0
1677280670,10.196078431372548,4.43,,81.0,41.96078431372549,,,1130.25,24.0,15.686274509803921,-0.098388671875,-0.077880859375,1.17041015625,0.3816793893129771,0.8244274809160306,-0.09923664122137404,10.0
1677280671,15.294117647058822,4.26,,81.0,45.490196078431374,,,686.5,23.0,15.686274509803921,-0.092529296875,-0.261474609375,0.934814453125,1.9236641221374047,0.48091603053435117,-0.022900763358778626,10.0
1677280672,16.07843137254902,3.85,,81.0,46.666666666666664,,,630.25,16.0,15.686274509803921,-0.1044921875,-0.197998046875,0.90966796875,-0.366412213740458,0.3816793893129771,-0.1450381679389313,10.0
