Timestamp,AbsoluteLoad,AirFlowRate,AmbientTemp,BarometricPressure,CoolantTemp,EngineLoad,EngineOilTemp,FuelLevel,IntakeTemp,RPM,Speed,ThrottlePos
1676841603,17.647058823529413,3.45,13.0,80.0,82.0,25.88235294117647,76.0,58.431372549019606,13.0,801.5,15.0,16.470588235294116
1676841604,14.509803921568627,3.18,13.0,80.0,82.0,21.568627450980394,76.0,68.23529411764706,13.0,921.75,13.0,16.07843137254902
1676841605,13.72549019607843,3.12,13.0,80.0,82.0,20.784313725490197,76.0,64.31372549019608,13.0,909.25,11.0,16.07843137254902
1676841606,38.8235294117647,14.5,13.0,80.0,82.0,62.35294117647059,76.0,63.92156862745098,13.0,1515.5,11.0,26.666666666666668
1676841608,15.686274509803921,3.9,13.0,80.0,82.0,25.098039215686274,76.0,61.1764705882353,13.0,1575.0,16.0,16.862745098039216
1676841609,9.803921568627452,3.31,13.0,80.0,82.0,14.901960784313726,76.0,67.45098039215686,13.0,1430.25,20.0,16.470588235294116
1676841610,21.56862745098039,15.89,13.0,80.0,82.0,25.88235294117647,76.0,59.21568627450981,13.0,1394.5,19.0,21.96078431372549
1676841611,26.274509803921568,4.1,13.0,80.0,82.0,57.64705882352941,76.0,64.70588235294117,13.0,2096.75,21.0,16.862745098039216
1676841612,15.686274509803921,2.92,13.0,80.0,82.0,26.666666666666668,76.0,60.3921568627451,13.0,1303.0,23.0,15.686274509803921
1676841614,10.196078431372548,2.75,13.0,80.0,82.0,15.294117647058824,76.0,68.62745098039215,13.0,1182.0,26.0,16.07843137254902
1676841615,9.803921568627452,2.59,13.0,80.0,82.0,14.117647058823529,76.0,75.29411764705883,13.0,1032.0,25.0,15.686274509803921
1676841616,10.588235294117647,8.78,13.0,80.0,83.0,16.07843137254902,76.0,70.98039215686275,13.0,988.25,22.0,16.07843137254902
1676841617,53.72549019607843,24.59,13.0,80.0,83.0,81.17647058823529,76.0,67.45098039215686,13.0,1825.0,23.0,35.68627450980392
1676841618,27.058823529411764,16.59,13.0,80.0,83.0,29.80392156862745,76.0,71.76470588235294,13.0,1427.25,25.0,25.098039215686274
1676841620,21.56862745098039,3.7,13.0,80.0,83.0,38.8235294117647,76.0,72.15686274509804,13.0,1362.5,27.0,16.07843137254902
1676841621,58.8235294117647,21.09,13.0,80.0,83.0,80.0,76.0,70.58823529411765,13.0,1403.75,28.0,35.294117647058826
1676841622,65.49019607843137,42.14,13.0,80.0,83.0,94.11764705882354,77.0,63.529411764705884,13.0,2492.75,32.0,45.09803921568628
1676841623,64.31372549019608,50.92,13.0,80.0,83.0,93.33333333333333,77.0,58.8235294117647,13.0,3063.25,34.0,48.23529411764706
1676841624,50.98039215686274,45.54,12.0,80.0,83.0,69.80392156862744,77.0,56.470588235294116,12.0,3626.5,44.0,36.86274509803921
1676841626,45.88235294117647,29.18,12.0,80.0,84.0,68.62745098039215,77.0,52.94117647058823,12.0,2627.25,52.0,32.94117647058823
1676841627,49.01960784313725,25.150000000000002,12.0,80.0,84.0,72.94117647058823,77.0,55.294117647058826,12.0,2085.0,57.0,38.431372549019606
1676841628,49.411764705882355,27.26,12.0,80.0,85.0,72.54901960784314,77.0,61.1764705882353,12.0,2226.5,59.0,38.8235294117647
1676841629,49.411764705882355,28.400000000000002,12.0,80.0,85.0,71.76470588235294,77.0,61.96078431372549,12.0,2355.25,64.0,36.86274509803921
1676841631,52.549019607843135,27.75,12.0,80.0,86.0,70.19607843137256,77.0,64.31372549019608,12.0,2257.0,69.0,38.8235294117647
1676841632,53.333333333333336,28.21,12.0,80.0,86.0,78.43137254901961,77.0,61.568627450980394,12.0,2139.0,71.0,40.0
1676841633,58.431372549019606,32.12,12.0,80.0,87.0,85.49019607843137,77.0,65.09803921568627,12.0,2218.75,73.0,41.1764705882353
1676841634,53.72549019607843,30.21,12.0,80.0,87.0,78.43137254901961,77.0,60.78431372549019,12.0,2292.75,75.0,40.3921568627451
1676841635,11.76470588235294,4.59,12.0,80.0,87.0,21.176470588235293,77.0,64.31372549019608,12.0,1992.0,77.0,17.254901960784313
1676841637,29.41176470588235,11.6,12.0,80.0,88.0,46.666666666666664,77.0,64.70588235294117,12.0,1835.75,75.0,22.352941176470587
1676841638,12.941176470588236,3.87,12.0,80.0,88.0,21.568627450980394,77.0,63.529411764705884,12.0,1686.5,76.0,16.862745098039216
1676841639,9.803921568627452,3.23,12.0,80.0,88.0,14.509803921568627,77.0,58.431372549019606,12.0,1379.5,73.0,16.470588235294116
1676841640,10.588235294117647,3.39,12.0,80.0,88.0,16.07843137254902,77.0,57.64705882352941,12.0,1279.5,71.0,16.470588235294116
1676841641,10.588235294117647,2.85,13.0,80.0,88.0,15.686274509803921,77.0,62.745098039215684,13.0,1125.75,64.0,16.07843137254902
1676841643,10.588235294117647,3.46,13.0,80.0,88.0,15.686274509803921,76.0,59.6078431372549,13.0,1310.75,60.0,16.470588235294116
1676841644,10.588235294117647,3.23,13.0,80.0,88.0,15.686274509803921,76.0,56.07843137254902,13.0,1233.5,54.0,16.470588235294116
1676841645,9.411764705882353,2.93,13.0,80.0,87.0,14.509803921568627,76.0,60.0,13.0,1247.5,53.0,16.07843137254902
1676841646,10.980392156862745,3.4,13.0,80.0,87.0,16.07843137254902,77.0,61.1764705882353,13.0,1228.0,51.0,16.470588235294116
1676841647,10.196078431372548,2.82,13.0,80.0,87.0,15.686274509803921,77.0,60.3921568627451,13.0,1217.0,51.0,16.07843137254902
1676841649,9.803921568627452,3.09,13.0,80.0,87.0,14.509803921568627,77.0,60.0,13.0,1186.5,50.0,16.07843137254902
1676841650,10.196078431372548,3.0100000000000002,13.0,80.0,86.0,15.294117647058824,77.0,60.3921568627451,13.0,1174.0,50.0,16.07843137254902
1676841651,27.84313725490196,19.53,13.0,80.0,86.0,26.666666666666668,77.0,60.0,13.0,1250.75,49.0,25.88235294117647
1676841652,25.88235294117647,9.31,13.0,80.0,86.0,39.21568627450981,77.0,61.568627450980394,13.0,1518.75,51.0,20.784313725490197
1676841653,23.92156862745098,9.15,13.0,80.0,85.0,30.58823529411765,78.0,60.78431372549019,13.0,1554.5,51.0,20.392156862745097
1676841655,42.35294117647059,18.95,13.0,80.0,85.0,45.88235294117647,78.0,60.0,13.0,1627.25,52.0,34.11764705882353
1676841656,27.84313725490196,7.890000000000001,13.0,80.0,85.0,42.35294117647059,78.0,58.431372549019606,13.0,1345.25,55.0,20.784313725490197
1676841657,52.94117647058823,20.84,13.0,80.0,85.0,65.09803921568627,78.0,58.8235294117647,13.0,1407.0,55.0,34.90196078431372
1676841658,65.09803921568627,42.93,13.0,80.0,85.0,94.90196078431373,78.0,60.78431372549019,13.0,2683.5,55.0,45.88235294117647
1676841659,63.92156862745098,45.26,12.0,80.0,85.0,92.94117647058823,78.0,63.529411764705884,12.0,2868.75,58.0,47.05882352941177
1676841661,64.31372549019608,49.59,12.0,80.0,85.0,94.50980392156863,79.0,61.568627450980394,12.0,3098.25,63.0,47.84313725490196
1676841662,65.49019607843137,54.17,12.0,80.0,85.0,92.94117647058823,79.0,66.27450980392157,12.0,3329.5,65.0,49.411764705882355
1676841663,60.78431372549019,52.76,12.0,80.0,85.0,85.49019607843137,79.0,65.88235294117646,12.0,3567.75,73.0,46.666666666666664
1676841664,62.35294117647059,43.96,12.0,80.0,85.0,90.58823529411765,80.0,64.70588235294117,12.0,2849.0,77.0,47.05882352941177
1676841665,58.03921568627451,41.0,12.0,80.0,86.0,86.66666666666667,80.0,62.745098039215684,12.0,2877.25,79.0,39.6078431372549
1676841667,62.35294117647059,46.09,12.0,80.0,86.0,90.19607843137256,80.0,61.96078431372549,12.0,2996.75,83.0,47.450980392156865
1676841668,63.13725490196078,48.17,12.0,80.0,86.0,92.54901960784314,80.0,63.13725490196079,12.0,3114.0,85.0,48.627450980392155
1676841669,63.92156862745098,51.28,12.0,80.0,87.0,92.94117647058823,80.0,63.13725490196079,12.0,3238.25,90.0,49.01960784313726
1676841670,58.8235294117647,48.21,12.0,80.0,87.0,84.31372549019608,80.0,65.49019607843137,12.0,3357.0,92.0,47.05882352941177
1676841672,60.0,50.68,12.0,80.0,87.0,83.13725490196079,80.0,64.31372549019608,12.0,3471.75,98.0,48.23529411764706
1676841673,56.470588235294116,48.370000000000005,12.0,80.0,87.0,77.6470588235294,80.0,63.529411764705884,12.0,3571.0,99.0,48.627450980392155
1676841674,61.96078431372549,46.7,12.0,80.0,88.0,90.19607843137256,81.0,63.92156862745098,12.0,3075.75,103.0,48.627450980392155
1676841675,32.15686274509804,23.78,12.0,80.0,88.0,45.09803921568628,81.0,65.09803921568627,12.0,3048.25,106.0,26.274509803921568
1676841676,54.11764705882353,32.730000000000004,12.0,80.0,88.0,68.23529411764706,81.0,65.09803921568627,12.0,2612.5,105.0,41.568627450980394
1676841678,61.17647058823529,39.37,12.0,80.0,88.0,89.01960784313725,81.0,64.31372549019608,12.0,2627.25,106.0,43.92156862745098
1676841679,34.509803921568626,20.01,12.0,80.0,89.0,53.333333333333336,81.0,62.35294117647059,12.0,2612.5,108.0,25.88235294117647
1676841680,16.862745098039216,25.46,13.0,80.0,89.0,15.294117647058824,81.0,67.45098039215686,13.0,2313.25,108.0,26.666666666666668
